Name,Category,Info
Alex Molcan,Age,25 (01-12-1997)
Alex Molcan,Country,Slovakia
Alex Molcan,Height,178 cm
Alex Molcan,Plays,Left-handed
Alex Molcan,Backhand,Two-handed
Alex Molcan,Favorite Surface,Clay 47%
Alex Molcan,Turned Pro,2015
Alex Molcan,Seasons,3
Alex Molcan,Active,Yes
Alex Molcan,Prize Money,"$764,855"
Alex Molcan,Wikipedia,Wikipedia
Alex Molcan,Current Rank,63 (820)
Alex Molcan,Best Rank,38 (23-05-2022)
Alex Molcan,Current Elo Rank,74 (1852)
Alex Molcan,Best Elo Rank,41 (25-07-2022)
Alex Molcan,Peak Elo Rating,1941 (25-07-2022)
Alex Molcan,Last Appearance,51.6% (33-31)
Alex Molcan,Overall,35.7% (10-18)
Alex Molcan,Hard,66.7% (20-10)
Alex Molcan,Clay,50.0% (3-3)
Alex Molcan,Grass,27-02-2023
Alex Molcan,Ace %,4.6%
Alex Molcan,Double Fault %,3.0%
Alex Molcan,1st Serve %,65.0%
Alex Molcan,1st Serve Won %,66.9%
Alex Molcan,2nd Serve Won %,52.4%
Alex Molcan,Break Points Saved %,58.6%
Alex Molcan,Service Points Won %,61.8%
Alex Molcan,Service Games Won %,75.7%
Alex Molcan,Ace Against %,7.8%
Alex Molcan,Double Fault Against %,2.9%
Alex Molcan,1st Srv. Return Won %,30.8%
Alex Molcan,2nd Srv. Return Won %,50.8%
Alex Molcan,Break Points Won %,39.6%
Alex Molcan,Return Points Won %,38.1%
Alex Molcan,Return Games Won %,23.8%
Alex Molcan,Points Dominance,1.00
Alex Molcan,Games Dominance,0.98
Alex Molcan,Break Points Ratio,0.96
Alex Molcan,Total Points Won %,49.9%
Alex Molcan,Games Won %,49.7%
Alex Molcan,Sets Won %,50.0%
Alex Molcan,Matches Won %,51.6%
Alex Molcan,Match Time,1:49
