Name,Category,Info
Thiago Monteiro,Age,28 (31-05-1994)
Thiago Monteiro,Country,Brazil
Thiago Monteiro,Height,183 cm
Thiago Monteiro,Plays,Left-handed
Thiago Monteiro,Backhand,Two-handed
Thiago Monteiro,Favorite Surface,Clay 27%
Thiago Monteiro,Turned Pro,2011
Thiago Monteiro,Seasons,8
Thiago Monteiro,Active,Yes
Thiago Monteiro,Prize Money,"US$2,388,137"
Thiago Monteiro,Wikipedia,Wikipedia
Thiago Monteiro,Current Rank,78 (676)
Thiago Monteiro,Best Rank,61 (17-10-2022)
Thiago Monteiro,Current Elo Rank,131 (1771)
Thiago Monteiro,Best Elo Rank,81 (15-03-2021)
Thiago Monteiro,Peak Elo Rating,1846 (08-03-2021)
Thiago Monteiro,Last Appearance,27-02-2023
Thiago Monteiro,Overall,40.7% (72-105)
Thiago Monteiro,Hard,31.8% (21-45)
Thiago Monteiro,Clay,47.1% (49-55)
Thiago Monteiro,Grass,28.6% (2-5)
Thiago Monteiro,H2H,"3
0
10"
Thiago Monteiro,H2H %,23.1%
Thiago Monteiro,Ace %,6.6%
Thiago Monteiro,Double Fault %,2.7%
Thiago Monteiro,1st Serve %,65.3%
Thiago Monteiro,1st Serve Won %,71.1%
Thiago Monteiro,2nd Serve Won %,51.2%
Thiago Monteiro,Break Points Saved %,62.3%
Thiago Monteiro,Service Points Won %,64.2%
Thiago Monteiro,Service Games Won %,79.4%
Thiago Monteiro,Ace Against %,9.1%
Thiago Monteiro,Double Fault Against %,3.6%
Thiago Monteiro,1st Srv. Return Won %,25.7%
Thiago Monteiro,2nd Srv. Return Won %,47.3%
Thiago Monteiro,Break Points Won %,40.1%
Thiago Monteiro,Return Points Won %,34.1%
Thiago Monteiro,Return Games Won %,17.8%
Thiago Monteiro,Points Dominance,0.95
Thiago Monteiro,Games Dominance,0.86
Thiago Monteiro,Break Points Ratio,1.06
Thiago Monteiro,Total Points Won %,49.3%
Thiago Monteiro,Games Won %,48.5%
Thiago Monteiro,Sets Won %,43.1%
Thiago Monteiro,Matches Won %,40.7%
Thiago Monteiro,Match Time,1:57
