Name,Category,Info
Corentin Moutet,Age,23 (19-04-1999)
Corentin Moutet,Country,France
Corentin Moutet,Height,175 cm
Corentin Moutet,Plays,Left-handed
Corentin Moutet,Backhand,Two-handed
Corentin Moutet,Favorite Surface,Hard 22%
Corentin Moutet,Turned Pro,2016
Corentin Moutet,Seasons,6
Corentin Moutet,Active,Yes
Corentin Moutet,Prize Money,"US $2,087,109"
Corentin Moutet,Wikipedia,Wikipedia
Corentin Moutet,Current Rank,69 (780)
Corentin Moutet,Best Rank,51 (07-11-2022)
Corentin Moutet,Current Elo Rank,49 (1912)
Corentin Moutet,Best Elo Rank,48 (07-11-2022)
Corentin Moutet,Peak Elo Rating,1921 (07-11-2022)
Corentin Moutet,Last Appearance,16-01-2023
Corentin Moutet,Overall,44.6% (45-56)
Corentin Moutet,Hard,50.0% (27-27)
Corentin Moutet,Clay,37.5% (15-25)
Corentin Moutet,Grass,42.9% (3-4)
Corentin Moutet,H2H,"3
0
3"
Corentin Moutet,H2H %,50.0%
Corentin Moutet,Ace %,2.6%
Corentin Moutet,Double Fault %,3.8%
Corentin Moutet,1st Serve %,67.7%
Corentin Moutet,1st Serve Won %,64.7%
Corentin Moutet,2nd Serve Won %,48.8%
Corentin Moutet,Break Points Saved %,56.4%
Corentin Moutet,Service Points Won %,59.6%
Corentin Moutet,Service Games Won %,71.5%
Corentin Moutet,Ace Against %,6.1%
Corentin Moutet,Double Fault Against %,3.6%
Corentin Moutet,1st Srv. Return Won %,30.3%
Corentin Moutet,2nd Srv. Return Won %,50.0%
Corentin Moutet,Break Points Won %,39.7%
Corentin Moutet,Return Points Won %,37.6%
Corentin Moutet,Return Games Won %,22.8%
Corentin Moutet,Points Dominance,0.93
Corentin Moutet,Games Dominance,0.80
Corentin Moutet,Break Points Ratio,0.91
Corentin Moutet,Total Points Won %,48.6%
Corentin Moutet,Games Won %,47.0%
Corentin Moutet,Sets Won %,44.8%
Corentin Moutet,Matches Won %,44.6%
Corentin Moutet,Match Time,2:10
