Name,Category,Info
Jaume Munar,Age,25 (05-05-1997)
Jaume Munar,Country,Spain
Jaume Munar,Height,183 cm
Jaume Munar,Plays,Right-handed
Jaume Munar,Backhand,Two-handed
Jaume Munar,Favorite Surface,Clay 65%
Jaume Munar,Turned Pro,2014
Jaume Munar,Seasons,9
Jaume Munar,Active,Yes
Jaume Munar,Prize Money,"US$2,506,990"
Jaume Munar,Wikipedia,Wikipedia
Jaume Munar,Current Rank,58 (847)
Jaume Munar,Best Rank,52 (20-05-2019)
Jaume Munar,Current Elo Rank,108 (1797)
Jaume Munar,Best Elo Rank,76 (06-05-2019)
Jaume Munar,Peak Elo Rating,1866 (29-04-2019)
Jaume Munar,Last Appearance,27-02-2023
Jaume Munar,Overall,41.1% (65-93)
Jaume Munar,Hard,32.1% (17-36)
Jaume Munar,Clay,49.0% (47-49)
Jaume Munar,Grass,11.1% (1-8)
Jaume Munar,H2H,"2
1
9"
Jaume Munar,H2H %,20.8%
Jaume Munar,Ace %,4.3%
Jaume Munar,Double Fault %,3.8%
Jaume Munar,1st Serve %,64.3%
Jaume Munar,1st Serve Won %,67.4%
Jaume Munar,2nd Serve Won %,47.4%
Jaume Munar,Break Points Saved %,58.4%
Jaume Munar,Service Points Won %,60.3%
Jaume Munar,Service Games Won %,72.9%
Jaume Munar,Ace Against %,4.9%
Jaume Munar,Double Fault Against %,4.0%
Jaume Munar,1st Srv. Return Won %,32.1%
Jaume Munar,2nd Srv. Return Won %,50.0%
Jaume Munar,Break Points Won %,37.1%
Jaume Munar,Return Points Won %,38.8%
Jaume Munar,Return Games Won %,23.7%
Jaume Munar,Points Dominance,0.98
Jaume Munar,Games Dominance,0.87
Jaume Munar,Break Points Ratio,0.89
Jaume Munar,Total Points Won %,49.5%
Jaume Munar,Games Won %,48.3%
Jaume Munar,Sets Won %,43.9%
Jaume Munar,Matches Won %,41.1%
Jaume Munar,Match Time,2:04
