Name,Category,Info
Andy Murray,Age,35 (15-05-1987)
Andy Murray,Country,United Kingdom
Andy Murray,Birthplace,"Dunblane, Scotland"
Andy Murray,Residence,"London, England"
Andy Murray,Height,190 cm
Andy Murray,Weight,84 kg
Andy Murray,Plays,Right-handed
Andy Murray,Backhand,Two-handed
Andy Murray,Favorite Surface,Grass 27%
Andy Murray,Coach,Jamie Delgado
Andy Murray,Turned Pro,2005
Andy Murray,Seasons,19
Andy Murray,Active,Yes
Andy Murray,Prize Money,"US$62,631,258 * 4th all-time leader in earnings"
Andy Murray,Wikipedia,Wikipedia
Andy Murray,Website,andymurray.com
Andy Murray,Facebook,andymurrayofficial
Andy Murray,Twitter,@andy_murray
Andy Murray,Nicknames,Muzza
Andy Murray,Titles,46
Andy Murray,Grand Slams,3
Andy Murray,Tour Finals,1
Andy Murray,Masters,14
Andy Murray,Olympics,2
Andy Murray,Davis Cups,1
Andy Murray,Current Rank,55 (855)
Andy Murray,Best Rank,1 (07-11-2016)
Andy Murray,Current Elo Rank,22 (2032)
Andy Murray,Best Elo Rank,2 (19-04-2009)
Andy Murray,Peak Elo Rating,2500 (21-11-2016)
Andy Murray,GOAT Rank,13 (314)
Andy Murray,Weeks at No. 1,41
Andy Murray,Best Season,2016
Andy Murray,Last Appearance,20-02-2023
Andy Murray,Overall,75.5% (723-235)
Andy Murray,Hard,75.5% (489-159)
Andy Murray,Clay,69.5% (107-47)
Andy Murray,Grass,81.8% (117-26)
Andy Murray,Carpet,72.7% (8-3)
Andy Murray,H2H,"95
3
10"
Andy Murray,H2H %,89.4%
Andy Murray,Ace %,8.6%
Andy Murray,Double Fault %,3.2%
Andy Murray,1st Serve %,58.1%
Andy Murray,1st Serve Won %,74.4%
Andy Murray,2nd Serve Won %,51.7%
Andy Murray,Break Points Saved %,62.1%
Andy Murray,Service Points Won %,64.9%
Andy Murray,Service Games Won %,81.8%
Andy Murray,Ace Against %,6.1%
Andy Murray,Double Fault Against %,3.6%
Andy Murray,1st Srv. Return Won %,32.9%
Andy Murray,2nd Srv. Return Won %,54.9%
Andy Murray,Break Points Won %,43.2%
Andy Murray,Return Points Won %,41.5%
Andy Murray,Return Games Won %,30.6%
Andy Murray,Points Dominance,1.18
Andy Murray,Games Dominance,1.68
Andy Murray,Break Points Ratio,1.14
Andy Murray,Total Points Won %,53.0%
Andy Murray,Games Won %,56.4%
Andy Murray,Sets Won %,68.9%
Andy Murray,Matches Won %,75.5%
Andy Murray,Match Time,1:54
