Name,Category,Info
Lorenzo Musetti,Age,21 (03-03-2002)
Lorenzo Musetti,Country,Italy
Lorenzo Musetti,Height,185 cm
Lorenzo Musetti,Plays,Right-handed
Lorenzo Musetti,Backhand,One-handed
Lorenzo Musetti,Favorite Surface,Clay 20%
Lorenzo Musetti,Turned Pro,2019
Lorenzo Musetti,Seasons,4
Lorenzo Musetti,Active,Yes
Lorenzo Musetti,Prize Money,"US$1,506,610"
Lorenzo Musetti,Wikipedia,Wikipedia
Lorenzo Musetti,Titles,2
Lorenzo Musetti,Current Rank,21 (1855)
Lorenzo Musetti,Best Rank,18 (30-01-2023)
Lorenzo Musetti,Current Elo Rank,44 (1919)
Lorenzo Musetti,Best Elo Rank,31 (07-11-2022)
Lorenzo Musetti,Peak Elo Rating,1988 (07-11-2022)
Lorenzo Musetti,GOAT Rank,388 (3)
Lorenzo Musetti,Best Season,2022
Lorenzo Musetti,Last Appearance,27-02-2023
Lorenzo Musetti,Overall,53.0% (62-55)
Lorenzo Musetti,Hard,50.0% (31-31)
Lorenzo Musetti,Clay,60.8% (31-20)
Lorenzo Musetti,Grass,0.0% (0-4)
Lorenzo Musetti,H2H,"2
0
7"
Lorenzo Musetti,H2H %,22.2%
Lorenzo Musetti,Ace %,4.2%
Lorenzo Musetti,Double Fault %,2.7%
Lorenzo Musetti,1st Serve %,65.2%
Lorenzo Musetti,1st Serve Won %,68.3%
Lorenzo Musetti,2nd Serve Won %,51.7%
Lorenzo Musetti,Break Points Saved %,57.6%
Lorenzo Musetti,Service Points Won %,62.5%
Lorenzo Musetti,Service Games Won %,77.1%
Lorenzo Musetti,Ace Against %,5.6%
Lorenzo Musetti,Double Fault Against %,3.5%
Lorenzo Musetti,1st Srv. Return Won %,30.1%
Lorenzo Musetti,2nd Srv. Return Won %,51.0%
Lorenzo Musetti,Break Points Won %,41.9%
Lorenzo Musetti,Return Points Won %,38.0%
Lorenzo Musetti,Return Games Won %,23.9%
Lorenzo Musetti,Points Dominance,1.01
Lorenzo Musetti,Games Dominance,1.04
Lorenzo Musetti,Break Points Ratio,0.99
Lorenzo Musetti,Total Points Won %,50.3%
Lorenzo Musetti,Games Won %,50.2%
Lorenzo Musetti,Sets Won %,52.4%
Lorenzo Musetti,Matches Won %,53.0%
Lorenzo Musetti,Match Time,1:51
