Name,Category,Info
Rafael Nadal,Age,36 (03-06-1986)
Rafael Nadal,Country,Spain
Rafael Nadal,Birthplace,"Manacor, Mallorca, Spain"
Rafael Nadal,Residence,"Manacor, Mallorca, Spain"
Rafael Nadal,Height,185 cm
Rafael Nadal,Weight,85 kg
Rafael Nadal,Plays,Left-handed
Rafael Nadal,Backhand,Two-handed
Rafael Nadal,Favorite Surface,Clay 40%
Rafael Nadal,Coach,Carlos Moya
Rafael Nadal,Turned Pro,2001
Rafael Nadal,Seasons,22
Rafael Nadal,Active,Yes
Rafael Nadal,Prize Money,"US$128,081,950"
Rafael Nadal,Wikipedia,Wikipedia
Rafael Nadal,Website,rafaelnadal.com
Rafael Nadal,Facebook,Nadal
Rafael Nadal,Twitter,@RafaelNadal
Rafael Nadal,Nicknames,"Rafa, Bull"
Rafael Nadal,Titles,92
Rafael Nadal,Grand Slams,22
Rafael Nadal,Masters,36
Rafael Nadal,Olympics,1
Rafael Nadal,Davis Cups,5
Rafael Nadal,Current Rank,9 (3315)
Rafael Nadal,Best Rank,1 (18-08-2008)
Rafael Nadal,Current Elo Rank,2 (2264)
Rafael Nadal,Best Elo Rank,1 (16-06-2008)
Rafael Nadal,Peak Elo Rating,2552 (09-09-2013)
Rafael Nadal,GOAT Rank,3 (891)
Rafael Nadal,Weeks at No. 1,209
Rafael Nadal,Best Season,2010
Rafael Nadal,Last Appearance,16-01-2023
Rafael Nadal,Overall,83.0% (1066-219)
Rafael Nadal,Hard,77.6% (514-148)
Rafael Nadal,Clay,91.3% (474-45)
Rafael Nadal,Grass,79.2% (76-20)
Rafael Nadal,Carpet,25.0% (2-6)
Rafael Nadal,H2H,"135
2
4"
Rafael Nadal,H2H %,96.5%
Rafael Nadal,Ace %,4.3%
Rafael Nadal,Double Fault %,2.3%
Rafael Nadal,1st Serve %,68.0%
Rafael Nadal,1st Serve Won %,72.2%
Rafael Nadal,2nd Serve Won %,57.2%
Rafael Nadal,Break Points Saved %,66.2%
Rafael Nadal,Service Points Won %,67.4%
Rafael Nadal,Service Games Won %,85.7%
Rafael Nadal,Ace Against %,7.3%
Rafael Nadal,Double Fault Against %,3.4%
Rafael Nadal,1st Srv. Return Won %,34.2%
Rafael Nadal,2nd Srv. Return Won %,55.2%
Rafael Nadal,Break Points Won %,44.9%
Rafael Nadal,Return Points Won %,42.4%
Rafael Nadal,Return Games Won %,33.3%
Rafael Nadal,Points Dominance,1.30
Rafael Nadal,Games Dominance,2.33
Rafael Nadal,Break Points Ratio,1.33
Rafael Nadal,Total Points Won %,54.5%
Rafael Nadal,Games Won %,59.7%
Rafael Nadal,Sets Won %,77.3%
Rafael Nadal,Matches Won %,83.0%
Rafael Nadal,Match Time,1:55
