Name,Category,Info
Brandon Nakashima,Age,21 (03-08-2001)
Brandon Nakashima,Country,United States
Brandon Nakashima,Plays,Right-handed
Brandon Nakashima,Backhand,Two-handed
Brandon Nakashima,Favorite Surface,"Fast (H, G) 36%"
Brandon Nakashima,Turned Pro,2019
Brandon Nakashima,Seasons,4
Brandon Nakashima,Active,Yes
Brandon Nakashima,Prize Money,"US$ 918,463"
Brandon Nakashima,Wikipedia,Wikipedia
Brandon Nakashima,Titles,1
Brandon Nakashima,Current Rank,48 (927)
Brandon Nakashima,Best Rank,43 (17-10-2022)
Brandon Nakashima,Current Elo Rank,47 (1913)
Brandon Nakashima,Best Elo Rank,35 (26-09-2022)
Brandon Nakashima,Peak Elo Rating,1958 (26-09-2022)
Brandon Nakashima,GOAT Rank,520 (1)
Brandon Nakashima,Best Season,2022
Brandon Nakashima,Last Appearance,27-02-2023
Brandon Nakashima,Overall,56.3% (49-38)
Brandon Nakashima,Hard,57.1% (40-30)
Brandon Nakashima,Clay,42.9% (3-4)
Brandon Nakashima,Grass,60.0% (6-4)
Brandon Nakashima,H2H,"3
0
4"
Brandon Nakashima,H2H %,42.9%
Brandon Nakashima,Ace %,9.2%
Brandon Nakashima,Double Fault %,2.4%
Brandon Nakashima,1st Serve %,62.3%
Brandon Nakashima,1st Serve Won %,74.7%
Brandon Nakashima,2nd Serve Won %,54.0%
Brandon Nakashima,Break Points Saved %,61.9%
Brandon Nakashima,Service Points Won %,66.9%
Brandon Nakashima,Service Games Won %,84.1%
Brandon Nakashima,Ace Against %,10.4%
Brandon Nakashima,Double Fault Against %,4.1%
Brandon Nakashima,1st Srv. Return Won %,26.6%
Brandon Nakashima,2nd Srv. Return Won %,49.8%
Brandon Nakashima,Break Points Won %,39.4%
Brandon Nakashima,Return Points Won %,35.7%
Brandon Nakashima,Return Games Won %,18.4%
Brandon Nakashima,Points Dominance,1.08
Brandon Nakashima,Games Dominance,1.16
Brandon Nakashima,Break Points Ratio,1.03
Brandon Nakashima,Total Points Won %,51.2%
Brandon Nakashima,Games Won %,51.4%
Brandon Nakashima,Sets Won %,55.6%
Brandon Nakashima,Matches Won %,56.3%
Brandon Nakashima,Match Time,1:58
