Name,Category,Info
Yoshihito Nishioka,Age,27 (27-09-1995)
Yoshihito Nishioka,Country,Japan
Yoshihito Nishioka,Height,170 cm
Yoshihito Nishioka,Plays,Left-handed
Yoshihito Nishioka,Backhand,Two-handed
Yoshihito Nishioka,Favorite Surface,Hard 66%
Yoshihito Nishioka,Seasons,10
Yoshihito Nishioka,Active,Yes
Yoshihito Nishioka,Prize Money,"US$3,417,062"
Yoshihito Nishioka,Wikipedia,Wikipedia
Yoshihito Nishioka,Titles,2
Yoshihito Nishioka,Current Rank,34 (1142)
Yoshihito Nishioka,Best Rank,32 (20-02-2023)
Yoshihito Nishioka,Current Elo Rank,33 (1950)
Yoshihito Nishioka,Best Elo Rank,32 (30-01-2023)
Yoshihito Nishioka,Peak Elo Rating,1977 (24-02-2020)
Yoshihito Nishioka,GOAT Rank,388 (3)
Yoshihito Nishioka,Best Season,2022
Yoshihito Nishioka,Last Appearance,27-02-2023
Yoshihito Nishioka,Overall,47.0% (101-114)
Yoshihito Nishioka,Hard,50.8% (90-87)
Yoshihito Nishioka,Clay,34.5% (10-19)
Yoshihito Nishioka,Grass,11.1% (1-8)
Yoshihito Nishioka,H2H,"7
1
12"
Yoshihito Nishioka,H2H %,37.5%
Yoshihito Nishioka,Ace %,2.4%
Yoshihito Nishioka,Double Fault %,2.1%
Yoshihito Nishioka,1st Serve %,65.6%
Yoshihito Nishioka,1st Serve Won %,63.8%
Yoshihito Nishioka,2nd Serve Won %,53.2%
Yoshihito Nishioka,Break Points Saved %,58.8%
Yoshihito Nishioka,Service Points Won %,60.1%
Yoshihito Nishioka,Service Games Won %,72.6%
Yoshihito Nishioka,Ace Against %,11.0%
Yoshihito Nishioka,Double Fault Against %,4.0%
Yoshihito Nishioka,1st Srv. Return Won %,27.3%
Yoshihito Nishioka,2nd Srv. Return Won %,53.1%
Yoshihito Nishioka,Break Points Won %,39.7%
Yoshihito Nishioka,Return Points Won %,37.5%
Yoshihito Nishioka,Return Games Won %,23.1%
Yoshihito Nishioka,Points Dominance,0.94
Yoshihito Nishioka,Games Dominance,0.84
Yoshihito Nishioka,Break Points Ratio,0.96
Yoshihito Nishioka,Total Points Won %,48.9%
Yoshihito Nishioka,Games Won %,47.8%
Yoshihito Nishioka,Sets Won %,46.4%
Yoshihito Nishioka,Matches Won %,47.0%
Yoshihito Nishioka,Match Time,1:46
