Name,Category,Info
Cameron Norrie,Age,27 (23-08-1995)
Cameron Norrie,Country,United Kingdom
Cameron Norrie,Height,188 cm
Cameron Norrie,Plays,Left-handed
Cameron Norrie,Backhand,Two-handed
Cameron Norrie,Favorite Surface,Clay 20%
Cameron Norrie,Turned Pro,2017
Cameron Norrie,Seasons,7
Cameron Norrie,Active,Yes
Cameron Norrie,Prize Money,"US$5,346,912"
Cameron Norrie,Wikipedia,Wikipedia
Cameron Norrie,Titles,5
Cameron Norrie,Masters,1
Cameron Norrie,Current Rank,12 (2815)
Cameron Norrie,Best Rank,8 (12-09-2022)
Cameron Norrie,Current Elo Rank,13 (2094)
Cameron Norrie,Best Elo Rank,11 (21-08-2022)
Cameron Norrie,Peak Elo Rating,2105 (21-09-2022)
Cameron Norrie,GOAT Rank,190 (14)
Cameron Norrie,Best Season,2021
Cameron Norrie,Last Appearance,20-02-2023
Cameron Norrie,Overall,59.8% (168-113)
Cameron Norrie,Hard,59.0% (108-75)
Cameron Norrie,Clay,64.2% (43-24)
Cameron Norrie,Grass,54.8% (17-14)
Cameron Norrie,H2H,"17
2
9"
Cameron Norrie,H2H %,64.3%
Cameron Norrie,Ace %,6.0%
Cameron Norrie,Double Fault %,3.7%
Cameron Norrie,1st Serve %,65.2%
Cameron Norrie,1st Serve Won %,70.4%
Cameron Norrie,2nd Serve Won %,50.1%
Cameron Norrie,Break Points Saved %,62.2%
Cameron Norrie,Service Points Won %,63.4%
Cameron Norrie,Service Games Won %,79.6%
Cameron Norrie,Ace Against %,7.8%
Cameron Norrie,Double Fault Against %,3.6%
Cameron Norrie,1st Srv. Return Won %,30.8%
Cameron Norrie,2nd Srv. Return Won %,51.3%
Cameron Norrie,Break Points Won %,42.2%
Cameron Norrie,Return Points Won %,38.6%
Cameron Norrie,Return Games Won %,25.4%
Cameron Norrie,Points Dominance,1.05
Cameron Norrie,Games Dominance,1.24
Cameron Norrie,Break Points Ratio,1.12
Cameron Norrie,Total Points Won %,50.9%
Cameron Norrie,Games Won %,52.4%
Cameron Norrie,Sets Won %,56.4%
Cameron Norrie,Matches Won %,59.8%
Cameron Norrie,Match Time,1:52
