Name,Category,Info
Christopher Oconnell,Age,28 (03-06-1994)
Christopher Oconnell,Country,Australia
Christopher Oconnell,Height,183 cm
Christopher Oconnell,Plays,Right-handed
Christopher Oconnell,Favorite Surface,Hard 28%
Christopher Oconnell,Seasons,5
Christopher Oconnell,Active,Yes
Christopher Oconnell,Wikipedia,Wikipedia
Christopher Oconnell,Current Rank,86 (649)
Christopher Oconnell,Best Rank,78 (28-11-2022)
Christopher Oconnell,Current Elo Rank,109 (1797)
Christopher Oconnell,Best Elo Rank,109 (06-03-2023)
Christopher Oconnell,Peak Elo Rating,1797 (06-03-2023)
Christopher Oconnell,Last Appearance,31.8% (14-30)
Christopher Oconnell,Overall,35.1% (13-24)
Christopher Oconnell,Hard,20.0% (1-4)
Christopher Oconnell,Clay,0.0% (0-2)
Christopher Oconnell,Grass,27-02-2023
Christopher Oconnell,Ace %,8.3%
Christopher Oconnell,Double Fault %,2.0%
Christopher Oconnell,1st Serve %,63.6%
Christopher Oconnell,1st Serve Won %,71.7%
Christopher Oconnell,2nd Serve Won %,50.1%
Christopher Oconnell,Break Points Saved %,63.0%
Christopher Oconnell,Service Points Won %,63.9%
Christopher Oconnell,Service Games Won %,80.0%
Christopher Oconnell,Ace Against %,8.8%
Christopher Oconnell,Double Fault Against %,3.9%
Christopher Oconnell,1st Srv. Return Won %,25.4%
Christopher Oconnell,2nd Srv. Return Won %,46.4%
Christopher Oconnell,Break Points Won %,32.4%
Christopher Oconnell,Return Points Won %,33.4%
Christopher Oconnell,Return Games Won %,15.0%
Christopher Oconnell,Points Dominance,0.93
Christopher Oconnell,Games Dominance,0.75
Christopher Oconnell,Break Points Ratio,0.88
Christopher Oconnell,Total Points Won %,48.8%
Christopher Oconnell,Games Won %,47.4%
Christopher Oconnell,Sets Won %,40.3%
Christopher Oconnell,Matches Won %,31.8%
Christopher Oconnell,Match Time,2:13
