Name,Category,Info
Oscar Otte,Age,29 (16-07-1993)
Oscar Otte,Country,Germany
Oscar Otte,Height,196 cm
Oscar Otte,Plays,Right-handed
Oscar Otte,Favorite Surface,Grass 51%
Oscar Otte,Turned Pro,2011
Oscar Otte,Seasons,6
Oscar Otte,Active,Yes
Oscar Otte,Prize Money,"$1,328,248"
Oscar Otte,Wikipedia,Wikipedia
Oscar Otte,Current Rank,82 (656)
Oscar Otte,Best Rank,36 (27-06-2022)
Oscar Otte,Current Elo Rank,135 (1767)
Oscar Otte,Best Elo Rank,47 (21-08-2022)
Oscar Otte,Peak Elo Rating,1917 (11-07-2022)
Oscar Otte,Last Appearance,27-02-2023
Oscar Otte,Overall,40.8% (29-42)
Oscar Otte,Hard,32.6% (14-29)
Oscar Otte,Clay,43.8% (7-9)
Oscar Otte,Grass,66.7% (8-4)
Oscar Otte,H2H,"0
0
2"
Oscar Otte,H2H %,0.0%
Oscar Otte,Ace %,10.5%
Oscar Otte,Double Fault %,5.0%
Oscar Otte,1st Serve %,57.2%
Oscar Otte,1st Serve Won %,75.5%
Oscar Otte,2nd Serve Won %,49.5%
Oscar Otte,Break Points Saved %,61.5%
Oscar Otte,Service Points Won %,64.4%
Oscar Otte,Service Games Won %,80.2%
Oscar Otte,Ace Against %,7.8%
Oscar Otte,Double Fault Against %,3.9%
Oscar Otte,1st Srv. Return Won %,27.7%
Oscar Otte,2nd Srv. Return Won %,49.4%
Oscar Otte,Break Points Won %,40.5%
Oscar Otte,Return Points Won %,35.9%
Oscar Otte,Return Games Won %,20.2%
Oscar Otte,Points Dominance,1.01
Oscar Otte,Games Dominance,1.02
Oscar Otte,Break Points Ratio,1.05
Oscar Otte,Total Points Won %,50.2%
Oscar Otte,Games Won %,49.4%
Oscar Otte,Sets Won %,44.7%
Oscar Otte,Matches Won %,40.8%
Oscar Otte,Match Time,1:48
