Name,Category,Info
Tommy Paul,Age,25 (17-05-1997)
Tommy Paul,Country,United States
Tommy Paul,Height,185 cm
Tommy Paul,Plays,Right-handed
Tommy Paul,Backhand,Two-handed
Tommy Paul,Favorite Surface,"Fast (H, G) 27%"
Tommy Paul,Turned Pro,2015
Tommy Paul,Seasons,9
Tommy Paul,Active,Yes
Tommy Paul,Prize Money,"$2,646,856"
Tommy Paul,Wikipedia,Wikipedia
Tommy Paul,Titles,1
Tommy Paul,Current Rank,19 (2000)
Tommy Paul,Best Rank,18 (13-02-2023)
Tommy Paul,Current Elo Rank,20 (2054)
Tommy Paul,Best Elo Rank,20 (30-01-2023)
Tommy Paul,Peak Elo Rating,2054 (06-03-2023)
Tommy Paul,GOAT Rank,367 (4)
Tommy Paul,Best Season,2023
Tommy Paul,Last Appearance,27-02-2023
Tommy Paul,Overall,54.9% (100-82)
Tommy Paul,Hard,57.6% (80-59)
Tommy Paul,Clay,41.9% (13-18)
Tommy Paul,Grass,58.3% (7-5)
Tommy Paul,H2H,"6
1
8"
Tommy Paul,H2H %,43.3%
Tommy Paul,Ace %,5.4%
Tommy Paul,Double Fault %,2.9%
Tommy Paul,1st Serve %,61.2%
Tommy Paul,1st Serve Won %,70.0%
Tommy Paul,2nd Serve Won %,51.7%
Tommy Paul,Break Points Saved %,60.3%
Tommy Paul,Service Points Won %,62.9%
Tommy Paul,Service Games Won %,78.4%
Tommy Paul,Ace Against %,6.2%
Tommy Paul,Double Fault Against %,3.7%
Tommy Paul,1st Srv. Return Won %,29.5%
Tommy Paul,2nd Srv. Return Won %,50.3%
Tommy Paul,Break Points Won %,39.4%
Tommy Paul,Return Points Won %,37.5%
Tommy Paul,Return Games Won %,23.1%
Tommy Paul,Points Dominance,1.01
Tommy Paul,Games Dominance,1.07
Tommy Paul,Break Points Ratio,0.99
Tommy Paul,Total Points Won %,50.2%
Tommy Paul,Games Won %,51.1%
Tommy Paul,Sets Won %,52.3%
Tommy Paul,Matches Won %,54.9%
Tommy Paul,Match Time,1:52
