Name,Category,Info
Max Purcell,Age,24 (03-04-1998)
Max Purcell,Country,Australia
Max Purcell,Height,185 cm
Max Purcell,Plays,Right-handed
Max Purcell,Backhand,Two-handed
Max Purcell,Favorite Surface,Grass 29%
Max Purcell,Turned Pro,2016
Max Purcell,Seasons,5
Max Purcell,Active,Yes
Max Purcell,Prize Money,"$1,178,213"
Max Purcell,Wikipedia,Wikipedia
Max Purcell,Current Rank,95 (575)
Max Purcell,Best Rank,95 (06-03-2023)
Max Purcell,Current Elo Rank,144 (1741)
Max Purcell,Best Elo Rank,121 (27-09-2021)
Max Purcell,Peak Elo Rating,1788 (29-08-2021)
Max Purcell,Last Appearance,16-01-2023
Max Purcell,Overall,36.4% (8-14)
Max Purcell,Hard,30.8% (4-9)
Max Purcell,Clay,0.0% (0-1)
Max Purcell,Grass,50.0% (4-4)
Max Purcell,H2H,"0
0
1"
Max Purcell,H2H %,0.0%
Max Purcell,Ace %,8.8%
Max Purcell,Double Fault %,2.6%
Max Purcell,1st Serve %,60.4%
Max Purcell,1st Serve Won %,68.8%
Max Purcell,2nd Serve Won %,44.3%
Max Purcell,Break Points Saved %,54.4%
Max Purcell,Service Points Won %,59.1%
Max Purcell,Service Games Won %,70.3%
Max Purcell,Ace Against %,8.9%
Max Purcell,Double Fault Against %,3.1%
Max Purcell,1st Srv. Return Won %,26.4%
Max Purcell,2nd Srv. Return Won %,50.1%
Max Purcell,Break Points Won %,36.2%
Max Purcell,Return Points Won %,35.9%
Max Purcell,Return Games Won %,19.6%
Max Purcell,Points Dominance,0.88
Max Purcell,Games Dominance,0.66
Max Purcell,Break Points Ratio,0.79
Max Purcell,Total Points Won %,47.3%
Max Purcell,Games Won %,44.0%
Max Purcell,Sets Won %,37.3%
Max Purcell,Matches Won %,36.4%
Max Purcell,Match Time,1:53
