Name,Category,Info
Albert Ramos,Age,35 (17-01-1988)
Albert Ramos,Country,Spain
Albert Ramos,Height,188 cm
Albert Ramos,Plays,Left-handed
Albert Ramos,Backhand,Two-handed
Albert Ramos,Favorite Surface,Clay 53%
Albert Ramos,Turned Pro,2007
Albert Ramos,Seasons,14
Albert Ramos,Active,Yes
Albert Ramos,Prize Money,"US$8,162,087"
Albert Ramos,Wikipedia,Wikipedia
Albert Ramos,Titles,4
Albert Ramos,Current Rank,50 (890)
Albert Ramos,Best Rank,17 (08-05-2017)
Albert Ramos,Current Elo Rank,94 (1809)
Albert Ramos,Best Elo Rank,25 (01-05-2017)
Albert Ramos,Peak Elo Rating,2014 (01-05-2017)
Albert Ramos,GOAT Rank,270 (7)
Albert Ramos,Best Season,2016
Albert Ramos,Last Appearance,27-02-2023
Albert Ramos,Overall,47.0% (270-304)
Albert Ramos,Hard,35.9% (74-132)
Albert Ramos,Clay,55.1% (190-155)
Albert Ramos,Grass,26.1% (6-17)
Albert Ramos,H2H,"31
7
46"
Albert Ramos,H2H %,41.1%
Albert Ramos,Ace %,4.2%
Albert Ramos,Double Fault %,3.1%
Albert Ramos,1st Serve %,62.3%
Albert Ramos,1st Serve Won %,67.7%
Albert Ramos,2nd Serve Won %,51.6%
Albert Ramos,Break Points Saved %,60.9%
Albert Ramos,Service Points Won %,61.6%
Albert Ramos,Service Games Won %,76.2%
Albert Ramos,Ace Against %,7.2%
Albert Ramos,Double Fault Against %,3.7%
Albert Ramos,1st Srv. Return Won %,29.6%
Albert Ramos,2nd Srv. Return Won %,50.2%
Albert Ramos,Break Points Won %,40.5%
Albert Ramos,Return Points Won %,37.6%
Albert Ramos,Return Games Won %,23.1%
Albert Ramos,Points Dominance,0.98
Albert Ramos,Games Dominance,0.97
Albert Ramos,Break Points Ratio,1.04
Albert Ramos,Total Points Won %,49.6%
Albert Ramos,Games Won %,49.4%
Albert Ramos,Sets Won %,46.9%
Albert Ramos,Matches Won %,47.0%
Albert Ramos,Match Time,1:54
