Name,Category,Info
Arthur Rinderknech,Age,27 (23-07-1995)
Arthur Rinderknech,Country,France
Arthur Rinderknech,Height,196 cm
Arthur Rinderknech,Plays,Right-handed
Arthur Rinderknech,Backhand,Two-handed
Arthur Rinderknech,Favorite Surface,"Slow (H, Cl) 24%"
Arthur Rinderknech,Turned Pro,2018
Arthur Rinderknech,Seasons,4
Arthur Rinderknech,Active,Yes
Arthur Rinderknech,Prize Money,"US$1,094,599"
Arthur Rinderknech,Wikipedia,Wikipedia
Arthur Rinderknech,Current Rank,72 (737)
Arthur Rinderknech,Best Rank,42 (31-10-2022)
Arthur Rinderknech,Current Elo Rank,79 (1843)
Arthur Rinderknech,Best Elo Rank,53 (31-10-2022)
Arthur Rinderknech,Peak Elo Rating,1909 (21-02-2022)
Arthur Rinderknech,Last Appearance,20-02-2023
Arthur Rinderknech,Overall,49.4% (41-42)
Arthur Rinderknech,Hard,51.8% (29-27)
Arthur Rinderknech,Clay,47.6% (10-11)
Arthur Rinderknech,Grass,33.3% (2-4)
Arthur Rinderknech,H2H,"1
0
4"
Arthur Rinderknech,H2H %,20.0%
Arthur Rinderknech,Ace %,12.0%
Arthur Rinderknech,Double Fault %,2.7%
Arthur Rinderknech,1st Serve %,64.8%
Arthur Rinderknech,1st Serve Won %,74.8%
Arthur Rinderknech,2nd Serve Won %,48.5%
Arthur Rinderknech,Break Points Saved %,65.7%
Arthur Rinderknech,Service Points Won %,65.5%
Arthur Rinderknech,Service Games Won %,84.0%
Arthur Rinderknech,Ace Against %,8.1%
Arthur Rinderknech,Double Fault Against %,3.3%
Arthur Rinderknech,1st Srv. Return Won %,25.6%
Arthur Rinderknech,2nd Srv. Return Won %,45.5%
Arthur Rinderknech,Break Points Won %,36.9%
Arthur Rinderknech,Return Points Won %,33.0%
Arthur Rinderknech,Return Games Won %,16.0%
Arthur Rinderknech,Points Dominance,0.96
Arthur Rinderknech,Games Dominance,1.00
Arthur Rinderknech,Break Points Ratio,1.08
Arthur Rinderknech,Total Points Won %,49.5%
Arthur Rinderknech,Games Won %,49.6%
Arthur Rinderknech,Sets Won %,47.0%
Arthur Rinderknech,Matches Won %,49.4%
Arthur Rinderknech,Match Time,1:57
