Name,Category,Info
Daniel Elahi Galan Riveros,Age,26 (18-06-1996)
Daniel Elahi Galan Riveros,Country,Colombia
Daniel Elahi Galan Riveros,Height,191 cm
Daniel Elahi Galan Riveros,Plays,Right-handed
Daniel Elahi Galan Riveros,Backhand,Two-handed
Daniel Elahi Galan Riveros,Favorite Surface,None 7%
Daniel Elahi Galan Riveros,Turned Pro,2015
Daniel Elahi Galan Riveros,Seasons,7
Daniel Elahi Galan Riveros,Active,Yes
Daniel Elahi Galan Riveros,Prize Money,"$1,071,603"
Daniel Elahi Galan Riveros,Wikipedia,Wikipedia
Daniel Elahi Galan Riveros,Current Rank,89 (639)
Daniel Elahi Galan Riveros,Best Rank,67 (28-11-2022)
Daniel Elahi Galan Riveros,Current Elo Rank,121 (1789)
Daniel Elahi Galan Riveros,Best Elo Rank,67 (26-09-2022)
Daniel Elahi Galan Riveros,Peak Elo Rating,1871 (26-09-2022)
Daniel Elahi Galan Riveros,Last Appearance,46.8% (36-41)
Daniel Elahi Galan Riveros,Overall,44.7% (17-21)
Daniel Elahi Galan Riveros,Hard,48.6% (17-18)
Daniel Elahi Galan Riveros,Clay,50.0% (2-2)
Daniel Elahi Galan Riveros,Grass,27-02-2023
Daniel Elahi Galan Riveros,Ace %,5.2%
Daniel Elahi Galan Riveros,Double Fault %,1.7%
Daniel Elahi Galan Riveros,1st Serve %,62.9%
Daniel Elahi Galan Riveros,1st Serve Won %,68.3%
Daniel Elahi Galan Riveros,2nd Serve Won %,49.9%
Daniel Elahi Galan Riveros,Break Points Saved %,57.5%
Daniel Elahi Galan Riveros,Service Points Won %,61.5%
Daniel Elahi Galan Riveros,Service Games Won %,75.3%
Daniel Elahi Galan Riveros,Ace Against %,5.9%
Daniel Elahi Galan Riveros,Double Fault Against %,4.0%
Daniel Elahi Galan Riveros,1st Srv. Return Won %,29.5%
Daniel Elahi Galan Riveros,2nd Srv. Return Won %,49.4%
Daniel Elahi Galan Riveros,Break Points Won %,43.5%
Daniel Elahi Galan Riveros,Return Points Won %,37.2%
Daniel Elahi Galan Riveros,Return Games Won %,23.3%
Daniel Elahi Galan Riveros,Points Dominance,0.96
Daniel Elahi Galan Riveros,Games Dominance,0.94
Daniel Elahi Galan Riveros,Break Points Ratio,1.02
Daniel Elahi Galan Riveros,Total Points Won %,49.6%
Daniel Elahi Galan Riveros,Games Won %,49.2%
Daniel Elahi Galan Riveros,Sets Won %,48.5%
Daniel Elahi Galan Riveros,Matches Won %,46.8%
Daniel Elahi Galan Riveros,Match Time,1:51
