Name,Category,Info
Andrey Rublev,Age,25 (20-10-1997)
Andrey Rublev,Country,Russian Federation
Andrey Rublev,Birthplace,"Moscow, Russia"
Andrey Rublev,Residence,"Moscow, Russia"
Andrey Rublev,Height,188 cm
Andrey Rublev,Weight,85 kg
Andrey Rublev,Plays,Right-handed
Andrey Rublev,Backhand,Two-handed
Andrey Rublev,Favorite Surface,All-Rounder 6%
Andrey Rublev,Coach,Fernando Vicente
Andrey Rublev,Turned Pro,2014
Andrey Rublev,Seasons,10
Andrey Rublev,Active,Yes
Andrey Rublev,Prize Money,"US$11,652,136"
Andrey Rublev,Wikipedia,Wikipedia
Andrey Rublev,Website,andrey-rublev.com
Andrey Rublev,Facebook,AndreyRublev1997
Andrey Rublev,Twitter,@AndreyRublev97
Andrey Rublev,Titles,12
Andrey Rublev,Davis Cups,1
Andrey Rublev,Team Cups,1
Andrey Rublev,Current Rank,7 (3660)
Andrey Rublev,Best Rank,5 (13-09-2021)
Andrey Rublev,Current Elo Rank,9 (2126)
Andrey Rublev,Best Elo Rank,5 (02-11-2020)
Andrey Rublev,Peak Elo Rating,2227 (08-03-2021)
Andrey Rublev,GOAT Rank,89 (42)
Andrey Rublev,Best Season,2021
Andrey Rublev,Last Appearance,27-02-2023
Andrey Rublev,Overall,64.0% (238-134)
Andrey Rublev,Hard,64.4% (179-99)
Andrey Rublev,Clay,62.3% (48-29)
Andrey Rublev,Grass,64.7% (11-6)
Andrey Rublev,H2H,"27
9
15"
Andrey Rublev,H2H %,61.8%
Andrey Rublev,Ace %,8.8%
Andrey Rublev,Double Fault %,3.5%
Andrey Rublev,1st Serve %,60.3%
Andrey Rublev,1st Serve Won %,74.9%
Andrey Rublev,2nd Serve Won %,50.8%
Andrey Rublev,Break Points Saved %,62.5%
Andrey Rublev,Service Points Won %,65.3%
Andrey Rublev,Service Games Won %,82.2%
Andrey Rublev,Ace Against %,9.4%
Andrey Rublev,Double Fault Against %,4.2%
Andrey Rublev,1st Srv. Return Won %,29.9%
Andrey Rublev,2nd Srv. Return Won %,52.7%
Andrey Rublev,Break Points Won %,40.7%
Andrey Rublev,Return Points Won %,38.7%
Andrey Rublev,Return Games Won %,24.4%
Andrey Rublev,Points Dominance,1.12
Andrey Rublev,Games Dominance,1.38
Andrey Rublev,Break Points Ratio,1.08
Andrey Rublev,Total Points Won %,51.7%
Andrey Rublev,Games Won %,53.2%
Andrey Rublev,Sets Won %,59.6%
Andrey Rublev,Matches Won %,64.0%
Andrey Rublev,Match Time,1:42
