Name,Category,Info
Holger Vitus Nodskov Rune,Age,19 (29-04-2003)
Holger Vitus Nodskov Rune,Country,Denmark
Holger Vitus Nodskov Rune,Height,185 cm
Holger Vitus Nodskov Rune,Plays,Right-handed
Holger Vitus Nodskov Rune,Backhand,Two-handed
Holger Vitus Nodskov Rune,Favorite Surface,Hard 29%
Holger Vitus Nodskov Rune,Turned Pro,2020
Holger Vitus Nodskov Rune,Seasons,6
Holger Vitus Nodskov Rune,Active,Yes
Holger Vitus Nodskov Rune,Prize Money,"US$584,580"
Holger Vitus Nodskov Rune,Wikipedia,Wikipedia
Holger Vitus Nodskov Rune,Titles,3
Holger Vitus Nodskov Rune,Masters,1
Holger Vitus Nodskov Rune,Current Rank,8 (3321)
Holger Vitus Nodskov Rune,Best Rank,8 (06-03-2023)
Holger Vitus Nodskov Rune,Current Elo Rank,17 (2071)
Holger Vitus Nodskov Rune,Best Elo Rank,13 (07-11-2022)
Holger Vitus Nodskov Rune,Peak Elo Rating,2089 (07-11-2022)
Holger Vitus Nodskov Rune,GOAT Rank,244 (8)
Holger Vitus Nodskov Rune,Best Season,2022
Holger Vitus Nodskov Rune,Last Appearance,27-02-2023
Holger Vitus Nodskov Rune,Overall,58.6% (58-41)
Holger Vitus Nodskov Rune,Hard,66.7% (40-20)
Holger Vitus Nodskov Rune,Clay,50.0% (18-18)
Holger Vitus Nodskov Rune,Grass,0.0% (0-3)
Holger Vitus Nodskov Rune,H2H,"3
0
4"
Holger Vitus Nodskov Rune,H2H %,42.9%
Holger Vitus Nodskov Rune,Ace %,5.7%
Holger Vitus Nodskov Rune,Double Fault %,4.6%
Holger Vitus Nodskov Rune,1st Serve %,63.2%
Holger Vitus Nodskov Rune,1st Serve Won %,71.2%
Holger Vitus Nodskov Rune,2nd Serve Won %,52.6%
Holger Vitus Nodskov Rune,Break Points Saved %,61.7%
Holger Vitus Nodskov Rune,Service Points Won %,64.3%
Holger Vitus Nodskov Rune,Service Games Won %,80.6%
Holger Vitus Nodskov Rune,Ace Against %,6.2%
Holger Vitus Nodskov Rune,Double Fault Against %,3.9%
Holger Vitus Nodskov Rune,1st Srv. Return Won %,29.6%
Holger Vitus Nodskov Rune,2nd Srv. Return Won %,51.7%
Holger Vitus Nodskov Rune,Break Points Won %,42.1%
Holger Vitus Nodskov Rune,Return Points Won %,37.8%
Holger Vitus Nodskov Rune,Return Games Won %,23.5%
Holger Vitus Nodskov Rune,Points Dominance,1.06
Holger Vitus Nodskov Rune,Games Dominance,1.21
Holger Vitus Nodskov Rune,Break Points Ratio,1.10
Holger Vitus Nodskov Rune,Total Points Won %,51.0%
Holger Vitus Nodskov Rune,Games Won %,52.6%
Holger Vitus Nodskov Rune,Sets Won %,58.2%
Holger Vitus Nodskov Rune,Matches Won %,58.6%
Holger Vitus Nodskov Rune,Match Time,1:49
