Name,Category,Info
Casper Ruud,Age,24 (22-12-1998)
Casper Ruud,Country,Norway
Casper Ruud,Height,183 cm
Casper Ruud,Plays,Right-handed
Casper Ruud,Backhand,Two-handed
Casper Ruud,Favorite Surface,Clay 48%
Casper Ruud,Turned Pro,2015
Casper Ruud,Seasons,8
Casper Ruud,Active,Yes
Casper Ruud,Prize Money,"US$6,419,239"
Casper Ruud,Wikipedia,Wikipedia
Casper Ruud,Website,casper-ruud.com
Casper Ruud,Titles,9
Casper Ruud,Current Rank,4 (5560)
Casper Ruud,Best Rank,2 (12-09-2022)
Casper Ruud,Current Elo Rank,14 (2085)
Casper Ruud,Best Elo Rank,6 (03-04-2022)
Casper Ruud,Peak Elo Rating,2163 (05-06-2022)
Casper Ruud,GOAT Rank,95 (38)
Casper Ruud,Best Season,2022
Casper Ruud,Last Appearance,27-02-2023
Casper Ruud,Overall,63.6% (161-92)
Casper Ruud,Hard,53.7% (58-50)
Casper Ruud,Clay,72.8% (99-37)
Casper Ruud,Grass,37.5% (3-5)
Casper Ruud,H2H,"20
2
10"
Casper Ruud,H2H %,65.6%
Casper Ruud,Ace %,6.4%
Casper Ruud,Double Fault %,2.9%
Casper Ruud,1st Serve %,65.1%
Casper Ruud,1st Serve Won %,72.3%
Casper Ruud,2nd Serve Won %,54.3%
Casper Ruud,Break Points Saved %,62.0%
Casper Ruud,Service Points Won %,66.0%
Casper Ruud,Service Games Won %,83.3%
Casper Ruud,Ace Against %,7.6%
Casper Ruud,Double Fault Against %,3.8%
Casper Ruud,1st Srv. Return Won %,29.0%
Casper Ruud,2nd Srv. Return Won %,51.0%
Casper Ruud,Break Points Won %,40.5%
Casper Ruud,Return Points Won %,37.3%
Casper Ruud,Return Games Won %,23.7%
Casper Ruud,Points Dominance,1.10
Casper Ruud,Games Dominance,1.42
Casper Ruud,Break Points Ratio,1.07
Casper Ruud,Total Points Won %,51.7%
Casper Ruud,Games Won %,53.8%
Casper Ruud,Sets Won %,59.2%
Casper Ruud,Matches Won %,63.6%
Casper Ruud,Match Time,1:50
