Name,Category,Info
Emil Ruusuvuori,Age,23 (02-04-1999)
Emil Ruusuvuori,Country,Finland
Emil Ruusuvuori,Height,188 cm
Emil Ruusuvuori,Plays,Right-handed
Emil Ruusuvuori,Backhand,Two-handed
Emil Ruusuvuori,Favorite Surface,Hard 26%
Emil Ruusuvuori,Turned Pro,2018
Emil Ruusuvuori,Seasons,7
Emil Ruusuvuori,Active,Yes
Emil Ruusuvuori,Prize Money,"US$1,436,572"
Emil Ruusuvuori,Wikipedia,Wikipedia
Emil Ruusuvuori,Current Rank,59 (846)
Emil Ruusuvuori,Best Rank,40 (21-11-2022)
Emil Ruusuvuori,Current Elo Rank,65 (1879)
Emil Ruusuvuori,Best Elo Rank,47 (08-05-2022)
Emil Ruusuvuori,Peak Elo Rating,1917 (02-05-2022)
Emil Ruusuvuori,Last Appearance,27-02-2023
Emil Ruusuvuori,Overall,49.3% (68-70)
Emil Ruusuvuori,Hard,52.9% (54-48)
Emil Ruusuvuori,Clay,37.5% (9-15)
Emil Ruusuvuori,Grass,45.5% (5-6)
Emil Ruusuvuori,H2H,"8
0
6"
Emil Ruusuvuori,H2H %,57.1%
Emil Ruusuvuori,Ace %,5.5%
Emil Ruusuvuori,Double Fault %,4.6%
Emil Ruusuvuori,1st Serve %,65.6%
Emil Ruusuvuori,1st Serve Won %,69.3%
Emil Ruusuvuori,2nd Serve Won %,49.3%
Emil Ruusuvuori,Break Points Saved %,57.3%
Emil Ruusuvuori,Service Points Won %,62.4%
Emil Ruusuvuori,Service Games Won %,76.0%
Emil Ruusuvuori,Ace Against %,6.8%
Emil Ruusuvuori,Double Fault Against %,4.2%
Emil Ruusuvuori,1st Srv. Return Won %,31.2%
Emil Ruusuvuori,2nd Srv. Return Won %,51.8%
Emil Ruusuvuori,Break Points Won %,39.7%
Emil Ruusuvuori,Return Points Won %,39.2%
Emil Ruusuvuori,Return Games Won %,24.4%
Emil Ruusuvuori,Points Dominance,1.04
Emil Ruusuvuori,Games Dominance,1.01
Emil Ruusuvuori,Break Points Ratio,0.93
Emil Ruusuvuori,Total Points Won %,50.6%
Emil Ruusuvuori,Games Won %,50.1%
Emil Ruusuvuori,Sets Won %,48.6%
Emil Ruusuvuori,Matches Won %,49.3%
Emil Ruusuvuori,Match Time,1:51
