Name,Category,Info
Juan Pablo Varillas Patino Samudio,Age,27 (06-10-1995)
Juan Pablo Varillas Patino Samudio,Country,Peru
Juan Pablo Varillas Patino Samudio,Plays,Right-handed
Juan Pablo Varillas Patino Samudio,Backhand,Two-handed
Juan Pablo Varillas Patino Samudio,Favorite Surface,Clay 53%
Juan Pablo Varillas Patino Samudio,Turned Pro,2013
Juan Pablo Varillas Patino Samudio,Seasons,9
Juan Pablo Varillas Patino Samudio,Active,Yes
Juan Pablo Varillas Patino Samudio,Prize Money,"$371,200"
Juan Pablo Varillas Patino Samudio,Wikipedia,Wikipedia
Juan Pablo Varillas Patino Samudio,Current Rank,76 (681)
Juan Pablo Varillas Patino Samudio,Best Rank,76 (06-03-2023)
Juan Pablo Varillas Patino Samudio,Current Elo Rank,120 (1790)
Juan Pablo Varillas Patino Samudio,Best Elo Rank,105 (20-02-2023)
Juan Pablo Varillas Patino Samudio,Peak Elo Rating,1802 (27-02-2023)
Juan Pablo Varillas Patino Samudio,Last Appearance,27-02-2023
Juan Pablo Varillas Patino Samudio,Overall,42.5% (17-23)
Juan Pablo Varillas Patino Samudio,Hard,16.7% (1-5)
Juan Pablo Varillas Patino Samudio,Clay,50.0% (16-16)
Juan Pablo Varillas Patino Samudio,H2H,"0
0
1"
Juan Pablo Varillas Patino Samudio,H2H %,0.0%
Juan Pablo Varillas Patino Samudio,Ace %,6.0%
Juan Pablo Varillas Patino Samudio,Double Fault %,2.8%
Juan Pablo Varillas Patino Samudio,1st Serve %,55.6%
Juan Pablo Varillas Patino Samudio,1st Serve Won %,70.5%
Juan Pablo Varillas Patino Samudio,2nd Serve Won %,53.0%
Juan Pablo Varillas Patino Samudio,Break Points Saved %,54.9%
Juan Pablo Varillas Patino Samudio,Service Points Won %,62.7%
Juan Pablo Varillas Patino Samudio,Service Games Won %,78.8%
Juan Pablo Varillas Patino Samudio,Ace Against %,6.4%
Juan Pablo Varillas Patino Samudio,Double Fault Against %,3.2%
Juan Pablo Varillas Patino Samudio,1st Srv. Return Won %,28.3%
Juan Pablo Varillas Patino Samudio,2nd Srv. Return Won %,50.3%
Juan Pablo Varillas Patino Samudio,Break Points Won %,40.2%
Juan Pablo Varillas Patino Samudio,Return Points Won %,37.2%
Juan Pablo Varillas Patino Samudio,Return Games Won %,21.1%
Juan Pablo Varillas Patino Samudio,Points Dominance,1.00
Juan Pablo Varillas Patino Samudio,Games Dominance,1.00
Juan Pablo Varillas Patino Samudio,Break Points Ratio,0.89
Juan Pablo Varillas Patino Samudio,Total Points Won %,49.8%
Juan Pablo Varillas Patino Samudio,Games Won %,49.4%
Juan Pablo Varillas Patino Samudio,Sets Won %,46.4%
Juan Pablo Varillas Patino Samudio,Matches Won %,42.5%
Juan Pablo Varillas Patino Samudio,Match Time,1:52
