Name,Category,Info
Diego Sebastian Schwartzman,Age,30 (16-08-1992)
Diego Sebastian Schwartzman,Country,Argentina
Diego Sebastian Schwartzman,Height,170 cm
Diego Sebastian Schwartzman,Plays,Right-handed
Diego Sebastian Schwartzman,Backhand,Two-handed
Diego Sebastian Schwartzman,Favorite Surface,"Slow (H, Cl) 42%"
Diego Sebastian Schwartzman,Turned Pro,2010
Diego Sebastian Schwartzman,Seasons,11
Diego Sebastian Schwartzman,Active,Yes
Diego Sebastian Schwartzman,Prize Money,"US$12,088,074"
Diego Sebastian Schwartzman,Wikipedia,Wikipedia
Diego Sebastian Schwartzman,Titles,4
Diego Sebastian Schwartzman,Current Rank,38 (1010)
Diego Sebastian Schwartzman,Best Rank,8 (12-10-2020)
Diego Sebastian Schwartzman,Current Elo Rank,67 (1873)
Diego Sebastian Schwartzman,Best Elo Rank,11 (02-11-2020)
Diego Sebastian Schwartzman,Peak Elo Rating,2097 (09-11-2020)
Diego Sebastian Schwartzman,GOAT Rank,181 (16)
Diego Sebastian Schwartzman,Best Season,2019
Diego Sebastian Schwartzman,Last Appearance,27-02-2023
Diego Sebastian Schwartzman,Overall,54.9% (236-194)
Diego Sebastian Schwartzman,Hard,54.0% (114-97)
Diego Sebastian Schwartzman,Clay,57.9% (114-83)
Diego Sebastian Schwartzman,Grass,36.4% (8-14)
Diego Sebastian Schwartzman,H2H,"30
11
19"
Diego Sebastian Schwartzman,H2H %,59.2%
Diego Sebastian Schwartzman,Ace %,2.5%
Diego Sebastian Schwartzman,Double Fault %,3.8%
Diego Sebastian Schwartzman,1st Serve %,63.0%
Diego Sebastian Schwartzman,1st Serve Won %,65.7%
Diego Sebastian Schwartzman,2nd Serve Won %,50.0%
Diego Sebastian Schwartzman,Break Points Saved %,57.2%
Diego Sebastian Schwartzman,Service Points Won %,59.9%
Diego Sebastian Schwartzman,Service Games Won %,72.4%
Diego Sebastian Schwartzman,Ace Against %,7.1%
Diego Sebastian Schwartzman,Double Fault Against %,3.9%
Diego Sebastian Schwartzman,1st Srv. Return Won %,33.6%
Diego Sebastian Schwartzman,2nd Srv. Return Won %,54.9%
Diego Sebastian Schwartzman,Break Points Won %,44.0%
Diego Sebastian Schwartzman,Return Points Won %,42.0%
Diego Sebastian Schwartzman,Return Games Won %,32.0%
Diego Sebastian Schwartzman,Points Dominance,1.05
Diego Sebastian Schwartzman,Games Dominance,1.16
Diego Sebastian Schwartzman,Break Points Ratio,1.03
Diego Sebastian Schwartzman,Total Points Won %,50.8%
Diego Sebastian Schwartzman,Games Won %,51.8%
Diego Sebastian Schwartzman,Sets Won %,53.8%
Diego Sebastian Schwartzman,Matches Won %,54.9%
Diego Sebastian Schwartzman,Match Time,1:53
