Name,Category,Info
Denis Shapovalov,Age,23 (15-04-1999)
Denis Shapovalov,Country,Canada
Denis Shapovalov,Height,185 cm
Denis Shapovalov,Plays,Left-handed
Denis Shapovalov,Backhand,One-handed
Denis Shapovalov,Favorite Surface,"Slow (H, Cl) 29%"
Denis Shapovalov,Turned Pro,2017
Denis Shapovalov,Seasons,8
Denis Shapovalov,Active,Yes
Denis Shapovalov,Prize Money,"US$9,059,949"
Denis Shapovalov,Wikipedia,Wikipedia
Denis Shapovalov,Titles,1
Denis Shapovalov,Davis Cups,1
Denis Shapovalov,Team Cups,1
Denis Shapovalov,Current Rank,30 (1380)
Denis Shapovalov,Best Rank,10 (21-09-2020)
Denis Shapovalov,Current Elo Rank,30 (1973)
Denis Shapovalov,Best Elo Rank,15 (12-07-2021)
Denis Shapovalov,Peak Elo Rating,2075 (13-01-2020)
Denis Shapovalov,GOAT Rank,196 (14)
Denis Shapovalov,Best Season,2019
Denis Shapovalov,Last Appearance,27-02-2023
Denis Shapovalov,Overall,55.8% (172-136)
Denis Shapovalov,Hard,57.9% (132-96)
Denis Shapovalov,Clay,53.8% (28-24)
Denis Shapovalov,Grass,42.9% (12-16)
Denis Shapovalov,H2H,"19
6
12"
Denis Shapovalov,H2H %,59.5%
Denis Shapovalov,Ace %,10.1%
Denis Shapovalov,Double Fault %,6.5%
Denis Shapovalov,1st Serve %,59.3%
Denis Shapovalov,1st Serve Won %,76.0%
Denis Shapovalov,2nd Serve Won %,51.7%
Denis Shapovalov,Break Points Saved %,65.6%
Denis Shapovalov,Service Points Won %,66.1%
Denis Shapovalov,Service Games Won %,83.9%
Denis Shapovalov,Ace Against %,4.9%
Denis Shapovalov,Double Fault Against %,3.9%
Denis Shapovalov,1st Srv. Return Won %,28.1%
Denis Shapovalov,2nd Srv. Return Won %,48.0%
Denis Shapovalov,Break Points Won %,37.6%
Denis Shapovalov,Return Points Won %,35.6%
Denis Shapovalov,Return Games Won %,19.2%
Denis Shapovalov,Points Dominance,1.05
Denis Shapovalov,Games Dominance,1.20
Denis Shapovalov,Break Points Ratio,1.09
Denis Shapovalov,Total Points Won %,50.7%
Denis Shapovalov,Games Won %,51.7%
Denis Shapovalov,Sets Won %,53.7%
Denis Shapovalov,Matches Won %,55.8%
Denis Shapovalov,Match Time,1:56
