Name,Category,Info
Jannik Sinner,Age,21 (16-08-2001)
Jannik Sinner,Country,Italy
Jannik Sinner,Height,188 cm
Jannik Sinner,Plays,Right-handed
Jannik Sinner,Backhand,Two-handed
Jannik Sinner,Favorite Surface,"Slow (H, Cl) 58%"
Jannik Sinner,Turned Pro,2018
Jannik Sinner,Seasons,5
Jannik Sinner,Active,Yes
Jannik Sinner,Prize Money,"US $5,039,946"
Jannik Sinner,Wikipedia,Wikipedia
Jannik Sinner,Titles,7
Jannik Sinner,Current Rank,13 (2655)
Jannik Sinner,Best Rank,9 (01-11-2021)
Jannik Sinner,Current Elo Rank,8 (2132)
Jannik Sinner,Best Elo Rank,7 (01-08-2022)
Jannik Sinner,Peak Elo Rating,2167 (01-08-2022)
Jannik Sinner,GOAT Rank,177 (16)
Jannik Sinner,Best Season,2021
Jannik Sinner,Last Appearance,20-02-2023
Jannik Sinner,Overall,68.4% (132-61)
Jannik Sinner,Hard,70.5% (93-39)
Jannik Sinner,Clay,67.3% (35-17)
Jannik Sinner,Grass,44.4% (4-5)
Jannik Sinner,H2H,"12
5
8"
Jannik Sinner,H2H %,58.0%
Jannik Sinner,Ace %,6.1%
Jannik Sinner,Double Fault %,2.9%
Jannik Sinner,1st Serve %,59.3%
Jannik Sinner,1st Serve Won %,71.9%
Jannik Sinner,2nd Serve Won %,53.1%
Jannik Sinner,Break Points Saved %,63.2%
Jannik Sinner,Service Points Won %,64.3%
Jannik Sinner,Service Games Won %,81.0%
Jannik Sinner,Ace Against %,6.1%
Jannik Sinner,Double Fault Against %,3.5%
Jannik Sinner,1st Srv. Return Won %,32.2%
Jannik Sinner,2nd Srv. Return Won %,52.2%
Jannik Sinner,Break Points Won %,43.2%
Jannik Sinner,Return Points Won %,39.9%
Jannik Sinner,Return Games Won %,26.7%
Jannik Sinner,Points Dominance,1.12
Jannik Sinner,Games Dominance,1.40
Jannik Sinner,Break Points Ratio,1.17
Jannik Sinner,Total Points Won %,51.9%
Jannik Sinner,Games Won %,54.2%
Jannik Sinner,Sets Won %,64.3%
Jannik Sinner,Matches Won %,68.4%
Jannik Sinner,Match Time,1:59
