Name,Category,Info
Lorenzo Sonego,Age,27 (11-05-1995)
Lorenzo Sonego,Country,Italy
Lorenzo Sonego,Height,191 cm
Lorenzo Sonego,Plays,Right-handed
Lorenzo Sonego,Backhand,Two-handed
Lorenzo Sonego,Favorite Surface,Grass 30%
Lorenzo Sonego,Turned Pro,2013
Lorenzo Sonego,Seasons,7
Lorenzo Sonego,Active,Yes
Lorenzo Sonego,Prize Money,"US$2,978,056"
Lorenzo Sonego,Wikipedia,Wikipedia
Lorenzo Sonego,Titles,3
Lorenzo Sonego,Current Rank,60 (835)
Lorenzo Sonego,Best Rank,21 (04-10-2021)
Lorenzo Sonego,Current Elo Rank,51 (1909)
Lorenzo Sonego,Best Elo Rank,25 (24-05-2021)
Lorenzo Sonego,Peak Elo Rating,1996 (16-05-2021)
Lorenzo Sonego,GOAT Rank,321 (5)
Lorenzo Sonego,Best Season,2021
Lorenzo Sonego,Last Appearance,27-02-2023
Lorenzo Sonego,Overall,48.8% (98-103)
Lorenzo Sonego,Hard,44.4% (44-55)
Lorenzo Sonego,Clay,50.0% (38-38)
Lorenzo Sonego,Grass,61.5% (16-10)
Lorenzo Sonego,H2H,"14
1
10"
Lorenzo Sonego,H2H %,58.0%
Lorenzo Sonego,Ace %,7.5%
Lorenzo Sonego,Double Fault %,2.4%
Lorenzo Sonego,1st Serve %,65.5%
Lorenzo Sonego,1st Serve Won %,72.5%
Lorenzo Sonego,2nd Serve Won %,50.9%
Lorenzo Sonego,Break Points Saved %,62.5%
Lorenzo Sonego,Service Points Won %,65.1%
Lorenzo Sonego,Service Games Won %,81.9%
Lorenzo Sonego,Ace Against %,4.3%
Lorenzo Sonego,Double Fault Against %,3.6%
Lorenzo Sonego,1st Srv. Return Won %,28.5%
Lorenzo Sonego,2nd Srv. Return Won %,46.0%
Lorenzo Sonego,Break Points Won %,37.4%
Lorenzo Sonego,Return Points Won %,35.1%
Lorenzo Sonego,Return Games Won %,18.3%
Lorenzo Sonego,Points Dominance,1.01
Lorenzo Sonego,Games Dominance,1.01
Lorenzo Sonego,Break Points Ratio,1.00
Lorenzo Sonego,Total Points Won %,50.2%
Lorenzo Sonego,Games Won %,50.3%
Lorenzo Sonego,Sets Won %,50.5%
Lorenzo Sonego,Matches Won %,48.8%
Lorenzo Sonego,Match Time,2:02
