Name,Category,Info
Jordan Thompson,Age,28 (20-04-1994)
Jordan Thompson,Country,Australia
Jordan Thompson,Height,183 cm
Jordan Thompson,Plays,Right-handed
Jordan Thompson,Backhand,Two-handed
Jordan Thompson,Favorite Surface,"Fast (H, G) 22%"
Jordan Thompson,Turned Pro,2013
Jordan Thompson,Seasons,10
Jordan Thompson,Active,Yes
Jordan Thompson,Prize Money,"US$3,567,788"
Jordan Thompson,Wikipedia,Wikipedia
Jordan Thompson,Current Rank,87 (647)
Jordan Thompson,Best Rank,43 (15-07-2019)
Jordan Thompson,Current Elo Rank,122 (1786)
Jordan Thompson,Best Elo Rank,57 (26-07-2021)
Jordan Thompson,Peak Elo Rating,1908 (01-07-2019)
Jordan Thompson,Last Appearance,13-02-2023
Jordan Thompson,Overall,42.9% (87-116)
Jordan Thompson,Hard,44.3% (58-73)
Jordan Thompson,Clay,33.3% (11-22)
Jordan Thompson,Grass,46.2% (18-21)
Jordan Thompson,H2H,"5
1
13"
Jordan Thompson,H2H %,28.9%
Jordan Thompson,Ace %,7.7%
Jordan Thompson,Double Fault %,2.7%
Jordan Thompson,1st Serve %,62.6%
Jordan Thompson,1st Serve Won %,70.8%
Jordan Thompson,2nd Serve Won %,48.9%
Jordan Thompson,Break Points Saved %,59.4%
Jordan Thompson,Service Points Won %,62.6%
Jordan Thompson,Service Games Won %,77.4%
Jordan Thompson,Ace Against %,7.3%
Jordan Thompson,Double Fault Against %,3.6%
Jordan Thompson,1st Srv. Return Won %,28.0%
Jordan Thompson,2nd Srv. Return Won %,48.3%
Jordan Thompson,Break Points Won %,37.2%
Jordan Thompson,Return Points Won %,35.7%
Jordan Thompson,Return Games Won %,19.2%
Jordan Thompson,Points Dominance,0.96
Jordan Thompson,Games Dominance,0.85
Jordan Thompson,Break Points Ratio,0.92
Jordan Thompson,Total Points Won %,49.2%
Jordan Thompson,Games Won %,48.4%
Jordan Thompson,Sets Won %,44.1%
Jordan Thompson,Matches Won %,42.9%
Jordan Thompson,Match Time,2:01
