Name,Category,Info
Frances Tiafoe,Age,25 (20-01-1998)
Frances Tiafoe,Country,United States
Frances Tiafoe,Height,188 cm
Frances Tiafoe,Plays,Right-handed
Frances Tiafoe,Backhand,Two-handed
Frances Tiafoe,Favorite Surface,Hard 22%
Frances Tiafoe,Turned Pro,2015
Frances Tiafoe,Seasons,10
Frances Tiafoe,Active,Yes
Frances Tiafoe,Prize Money,"US$ 5,602,454"
Frances Tiafoe,Wikipedia,Wikipedia
Frances Tiafoe,Titles,1
Frances Tiafoe,Team Cups,1
Frances Tiafoe,Current Rank,16 (2395)
Frances Tiafoe,Best Rank,14 (06-02-2023)
Frances Tiafoe,Current Elo Rank,21 (2037)
Frances Tiafoe,Best Elo Rank,17 (09-01-2023)
Frances Tiafoe,Peak Elo Rating,2051 (09-01-2023)
Frances Tiafoe,GOAT Rank,284 (7)
Frances Tiafoe,Best Season,2022
Frances Tiafoe,Last Appearance,27-02-2023
Frances Tiafoe,Overall,50.5% (143-140)
Frances Tiafoe,Hard,52.9% (109-97)
Frances Tiafoe,Clay,41.2% (21-30)
Frances Tiafoe,Grass,50.0% (13-13)
Frances Tiafoe,H2H,"12
1
22"
Frances Tiafoe,H2H %,35.7%
Frances Tiafoe,Ace %,8.4%
Frances Tiafoe,Double Fault %,3.0%
Frances Tiafoe,1st Serve %,60.9%
Frances Tiafoe,1st Serve Won %,71.9%
Frances Tiafoe,2nd Serve Won %,52.0%
Frances Tiafoe,Break Points Saved %,61.8%
Frances Tiafoe,Service Points Won %,64.1%
Frances Tiafoe,Service Games Won %,80.3%
Frances Tiafoe,Ace Against %,11.0%
Frances Tiafoe,Double Fault Against %,3.8%
Frances Tiafoe,1st Srv. Return Won %,26.7%
Frances Tiafoe,2nd Srv. Return Won %,49.7%
Frances Tiafoe,Break Points Won %,38.3%
Frances Tiafoe,Return Points Won %,35.5%
Frances Tiafoe,Return Games Won %,19.2%
Frances Tiafoe,Points Dominance,0.99
Frances Tiafoe,Games Dominance,0.97
Frances Tiafoe,Break Points Ratio,1.00
Frances Tiafoe,Total Points Won %,49.8%
Frances Tiafoe,Games Won %,49.8%
Frances Tiafoe,Sets Won %,51.4%
Frances Tiafoe,Matches Won %,50.5%
Frances Tiafoe,Match Time,1:57
