Name,Category,Info
Stefanos Tsitsipas,Age,24 (12-08-1998)
Stefanos Tsitsipas,Country,Greece
Stefanos Tsitsipas,Birthplace,"Athens, Greece"
Stefanos Tsitsipas,Residence,"Monte Carlo, Monaco"
Stefanos Tsitsipas,Height,193 cm
Stefanos Tsitsipas,Weight,85 kg
Stefanos Tsitsipas,Plays,Right-handed
Stefanos Tsitsipas,Backhand,One-handed
Stefanos Tsitsipas,Favorite Surface,Clay 29%
Stefanos Tsitsipas,Coach,Patrick Mouratoglou
Stefanos Tsitsipas,Turned Pro,2016
Stefanos Tsitsipas,Seasons,7
Stefanos Tsitsipas,Active,Yes
Stefanos Tsitsipas,Prize Money,"US$18,772,374 30th all-time in earnings"
Stefanos Tsitsipas,Wikipedia,Wikipedia
Stefanos Tsitsipas,Website,stsitsipas.com
Stefanos Tsitsipas,Facebook,StefTsitsipas
Stefanos Tsitsipas,Twitter,@steftsitsipas
Stefanos Tsitsipas,Nicknames,The Greek God
Stefanos Tsitsipas,Titles,9
Stefanos Tsitsipas,Tour Finals,1
Stefanos Tsitsipas,Masters,2
Stefanos Tsitsipas,Current Rank,3 (5805)
Stefanos Tsitsipas,Best Rank,3 (09-08-2021)
Stefanos Tsitsipas,Current Elo Rank,5 (2193)
Stefanos Tsitsipas,Best Elo Rank,3 (30-01-2023)
Stefanos Tsitsipas,Peak Elo Rating,2258 (13-06-2021)
Stefanos Tsitsipas,GOAT Rank,53 (72)
Stefanos Tsitsipas,Best Season,2022
Stefanos Tsitsipas,Last Appearance,13-02-2023
Stefanos Tsitsipas,Overall,67.6% (250-120)
Stefanos Tsitsipas,Hard,65.1% (157-84)
Stefanos Tsitsipas,Clay,75.5% (77-25)
Stefanos Tsitsipas,Grass,59.3% (16-11)
Stefanos Tsitsipas,H2H,"35
2
11"
Stefanos Tsitsipas,H2H %,75.0%
Stefanos Tsitsipas,Ace %,9.0%
Stefanos Tsitsipas,Double Fault %,2.8%
Stefanos Tsitsipas,1st Serve %,62.1%
Stefanos Tsitsipas,1st Serve Won %,76.0%
Stefanos Tsitsipas,2nd Serve Won %,54.7%
Stefanos Tsitsipas,Break Points Saved %,64.6%
Stefanos Tsitsipas,Service Points Won %,67.9%
Stefanos Tsitsipas,Service Games Won %,86.0%
Stefanos Tsitsipas,Ace Against %,6.2%
Stefanos Tsitsipas,Double Fault Against %,3.4%
Stefanos Tsitsipas,1st Srv. Return Won %,28.8%
Stefanos Tsitsipas,2nd Srv. Return Won %,49.2%
Stefanos Tsitsipas,Break Points Won %,39.9%
Stefanos Tsitsipas,Return Points Won %,36.2%
Stefanos Tsitsipas,Return Games Won %,21.0%
Stefanos Tsitsipas,Points Dominance,1.13
Stefanos Tsitsipas,Games Dominance,1.50
Stefanos Tsitsipas,Break Points Ratio,1.13
Stefanos Tsitsipas,Total Points Won %,52.0%
Stefanos Tsitsipas,Games Won %,54.0%
Stefanos Tsitsipas,Sets Won %,62.8%
Stefanos Tsitsipas,Matches Won %,67.6%
Stefanos Tsitsipas,Match Time,1:55
