Name,Category,Info
Stan Wawrinka,Age,37 (28-03-1985)
Stan Wawrinka,Country,Switzerland
Stan Wawrinka,Birthplace,"Lausanne, Switzerland"
Stan Wawrinka,Residence,"St. Barthelemy, Switzerland"
Stan Wawrinka,Height,183 cm
Stan Wawrinka,Weight,81 kg
Stan Wawrinka,Plays,Right-handed
Stan Wawrinka,Backhand,One-handed
Stan Wawrinka,Favorite Surface,"Slow (H, Cl) 32%"
Stan Wawrinka,Coach,Daniel Vallverdu
Stan Wawrinka,Turned Pro,2002
Stan Wawrinka,Seasons,21
Stan Wawrinka,Active,Yes
Stan Wawrinka,Prize Money,"US$34,780,605 6th all-time leader in earnings"
Stan Wawrinka,Wikipedia,Wikipedia
Stan Wawrinka,Website,stanwawrinka.com
Stan Wawrinka,Facebook,stanwawrinka
Stan Wawrinka,Twitter,@stanwawrinka
Stan Wawrinka,Nicknames,"Stan the Man, Stanimal"
Stan Wawrinka,Titles,16
Stan Wawrinka,Grand Slams,3
Stan Wawrinka,Masters,1
Stan Wawrinka,Davis Cups,1
Stan Wawrinka,Current Rank,100 (557)
Stan Wawrinka,Best Rank,3 (27-01-2014)
Stan Wawrinka,Current Elo Rank,34 (1949)
Stan Wawrinka,Best Elo Rank,5 (17-02-2014)
Stan Wawrinka,Peak Elo Rating,2291 (20-04-2014)
Stan Wawrinka,GOAT Rank,36 (104)
Stan Wawrinka,Best Season,2015
Stan Wawrinka,Last Appearance,20-02-2023
Stan Wawrinka,Overall,62.5% (546-327)
Stan Wawrinka,Hard,62.9% (319-188)
Stan Wawrinka,Clay,65.7% (186-97)
Stan Wawrinka,Grass,49.2% (32-33)
Stan Wawrinka,Carpet,47.1% (8-9)
Stan Wawrinka,H2H,"69
19
19"
Stan Wawrinka,H2H %,73.4%
Stan Wawrinka,Ace %,8.7%
Stan Wawrinka,Double Fault %,3.1%
Stan Wawrinka,1st Serve %,57.9%
Stan Wawrinka,1st Serve Won %,73.8%
Stan Wawrinka,2nd Serve Won %,53.8%
Stan Wawrinka,Break Points Saved %,64.2%
Stan Wawrinka,Service Points Won %,65.3%
Stan Wawrinka,Service Games Won %,82.8%
Stan Wawrinka,Ace Against %,5.3%
Stan Wawrinka,Double Fault Against %,3.3%
Stan Wawrinka,1st Srv. Return Won %,29.8%
Stan Wawrinka,2nd Srv. Return Won %,49.2%
Stan Wawrinka,Break Points Won %,39.0%
Stan Wawrinka,Return Points Won %,37.4%
Stan Wawrinka,Return Games Won %,22.4%
Stan Wawrinka,Points Dominance,1.08
Stan Wawrinka,Games Dominance,1.30
Stan Wawrinka,Break Points Ratio,1.09
Stan Wawrinka,Total Points Won %,51.3%
Stan Wawrinka,Games Won %,52.8%
Stan Wawrinka,Sets Won %,59.4%
Stan Wawrinka,Matches Won %,62.5%
Stan Wawrinka,Match Time,1:52
