Name,Category,Info
Jeffrey John Wolf,Age,24 (21-12-1998)
Jeffrey John Wolf,Country,United States
Jeffrey John Wolf,Plays,Right-handed
Jeffrey John Wolf,Backhand,Two-handed
Jeffrey John Wolf,Favorite Surface,Hard 100%
Jeffrey John Wolf,Turned Pro,2019
Jeffrey John Wolf,Seasons,4
Jeffrey John Wolf,Active,Yes
Jeffrey John Wolf,Prize Money,"$479,745"
Jeffrey John Wolf,Wikipedia,Wikipedia
Jeffrey John Wolf,Current Rank,44 (951)
Jeffrey John Wolf,Best Rank,39 (13-02-2023)
Jeffrey John Wolf,Current Elo Rank,50 (1912)
Jeffrey John Wolf,Best Elo Rank,43 (13-02-2023)
Jeffrey John Wolf,Peak Elo Rating,1926 (13-02-2023)
Jeffrey John Wolf,Last Appearance,51.0% (25-24)
Jeffrey John Wolf,Overall,51.1% (24-23)
Jeffrey John Wolf,Hard,50.0% (1-1)
Jeffrey John Wolf,Clay,27-02-2023
Jeffrey John Wolf,Ace %,9.3%
Jeffrey John Wolf,Double Fault %,4.5%
Jeffrey John Wolf,1st Serve %,58.8%
Jeffrey John Wolf,1st Serve Won %,72.7%
Jeffrey John Wolf,2nd Serve Won %,49.2%
Jeffrey John Wolf,Break Points Saved %,60.9%
Jeffrey John Wolf,Service Points Won %,63.0%
Jeffrey John Wolf,Service Games Won %,77.7%
Jeffrey John Wolf,Ace Against %,12.6%
Jeffrey John Wolf,Double Fault Against %,4.0%
Jeffrey John Wolf,1st Srv. Return Won %,28.6%
Jeffrey John Wolf,2nd Srv. Return Won %,48.3%
Jeffrey John Wolf,Break Points Won %,38.9%
Jeffrey John Wolf,Return Points Won %,35.7%
Jeffrey John Wolf,Return Games Won %,20.6%
Jeffrey John Wolf,Points Dominance,0.97
Jeffrey John Wolf,Games Dominance,0.93
Jeffrey John Wolf,Break Points Ratio,0.99
Jeffrey John Wolf,Total Points Won %,49.4%
Jeffrey John Wolf,Games Won %,49.8%
Jeffrey John Wolf,Sets Won %,52.4%
Jeffrey John Wolf,Matches Won %,51.0%
Jeffrey John Wolf,Match Time,1:51
