Name,Category,Info
Yibing Wu,Age,23 (14-10-1999)
Yibing Wu,Country,China
Yibing Wu,Height,183 cm
Yibing Wu,Plays,Right-handed
Yibing Wu,Backhand,Two-handed
Yibing Wu,Favorite Surface,Hard 100%
Yibing Wu,Turned Pro,2017
Yibing Wu,Seasons,5
Yibing Wu,Active,Yes
Yibing Wu,Prize Money,"US$114,311"
Yibing Wu,Wikipedia,Wikipedia
Yibing Wu,Titles,1
Yibing Wu,Current Rank,67 (793)
Yibing Wu,Best Rank,58 (13-02-2023)
Yibing Wu,Current Elo Rank,78 (1845)
Yibing Wu,Best Elo Rank,77 (20-02-2023)
Yibing Wu,Peak Elo Rating,1845 (13-02-2023)
Yibing Wu,Last Appearance,52.4% (11-10)
Yibing Wu,Overall,50.0% (10-10)
Yibing Wu,Hard,06-02-2023
Yibing Wu,Ace %,6.1%
Yibing Wu,Double Fault %,2.7%
Yibing Wu,1st Serve %,59.5%
Yibing Wu,1st Serve Won %,70.0%
Yibing Wu,2nd Serve Won %,53.5%
Yibing Wu,Break Points Saved %,65.4%
Yibing Wu,Service Points Won %,63.3%
Yibing Wu,Service Games Won %,79.2%
Yibing Wu,Ace Against %,10.1%
Yibing Wu,Double Fault Against %,3.7%
Yibing Wu,1st Srv. Return Won %,30.3%
Yibing Wu,2nd Srv. Return Won %,43.6%
Yibing Wu,Break Points Won %,36.2%
Yibing Wu,Return Points Won %,35.1%
Yibing Wu,Return Games Won %,17.5%
Yibing Wu,Points Dominance,0.96
Yibing Wu,Games Dominance,0.84
Yibing Wu,Break Points Ratio,1.05
Yibing Wu,Total Points Won %,49.5%
Yibing Wu,Games Won %,48.4%
Yibing Wu,Sets Won %,49.2%
Yibing Wu,Matches Won %,52.4%
Yibing Wu,Match Time,1:53
