Name,Category,Info
Botic Van De Zandschulp,Age,27 (04-10-1995)
Botic Van De Zandschulp,Country,Netherlands
Botic Van De Zandschulp,Height,188 cm
Botic Van De Zandschulp,Plays,Right-handed
Botic Van De Zandschulp,Backhand,Two-handed
Botic Van De Zandschulp,Favorite Surface,All-Rounder 4%
Botic Van De Zandschulp,Turned Pro,2013
Botic Van De Zandschulp,Seasons,4
Botic Van De Zandschulp,Active,Yes
Botic Van De Zandschulp,Prize Money,"US$1,536,219"
Botic Van De Zandschulp,Wikipedia,Wikipedia
Botic Van De Zandschulp,Current Rank,33 (1205)
Botic Van De Zandschulp,Best Rank,22 (29-08-2022)
Botic Van De Zandschulp,Current Elo Rank,31 (1962)
Botic Van De Zandschulp,Best Elo Rank,27 (24-09-2022)
Botic Van De Zandschulp,Peak Elo Rating,1998 (24-09-2022)
Botic Van De Zandschulp,GOAT Rank,630 (1)
Botic Van De Zandschulp,Best Season,2021
Botic Van De Zandschulp,Last Appearance,27-02-2023
Botic Van De Zandschulp,Overall,56.7% (59-45)
Botic Van De Zandschulp,Hard,56.2% (41-32)
Botic Van De Zandschulp,Clay,57.9% (11-8)
Botic Van De Zandschulp,Grass,58.3% (7-5)
Botic Van De Zandschulp,H2H,"4
0
3"
Botic Van De Zandschulp,H2H %,57.1%
Botic Van De Zandschulp,Ace %,8.0%
Botic Van De Zandschulp,Double Fault %,5.0%
Botic Van De Zandschulp,1st Serve %,63.0%
Botic Van De Zandschulp,1st Serve Won %,72.4%
Botic Van De Zandschulp,2nd Serve Won %,48.0%
Botic Van De Zandschulp,Break Points Saved %,62.4%
Botic Van De Zandschulp,Service Points Won %,63.4%
Botic Van De Zandschulp,Service Games Won %,78.4%
Botic Van De Zandschulp,Ace Against %,5.9%
Botic Van De Zandschulp,Double Fault Against %,3.5%
Botic Van De Zandschulp,1st Srv. Return Won %,31.2%
Botic Van De Zandschulp,2nd Srv. Return Won %,49.4%
Botic Van De Zandschulp,Break Points Won %,40.4%
Botic Van De Zandschulp,Return Points Won %,37.9%
Botic Van De Zandschulp,Return Games Won %,23.8%
Botic Van De Zandschulp,Points Dominance,1.03
Botic Van De Zandschulp,Games Dominance,1.10
Botic Van De Zandschulp,Break Points Ratio,1.07
Botic Van De Zandschulp,Total Points Won %,50.5%
Botic Van De Zandschulp,Games Won %,50.9%
Botic Van De Zandschulp,Sets Won %,53.5%
Botic Van De Zandschulp,Matches Won %,56.7%
Botic Van De Zandschulp,Match Time,1:58
