Name,Category,Info
Zhizhen Zhang,Age,26 (16-10-1996)
Zhizhen Zhang,Country,China
Zhizhen Zhang,Height,193 cm
Zhizhen Zhang,Plays,Right-handed
Zhizhen Zhang,Backhand,Two-handed
Zhizhen Zhang,Favorite Surface,Hard 100%
Zhizhen Zhang,Turned Pro,2012
Zhizhen Zhang,Seasons,7
Zhizhen Zhang,Active,Yes
Zhizhen Zhang,Prize Money,"US$ 383,009"
Zhizhen Zhang,Wikipedia,Wikipedia
Zhizhen Zhang,Current Rank,93 (580)
Zhizhen Zhang,Best Rank,91 (06-02-2023)
Zhizhen Zhang,Current Elo Rank,162 (1698)
Zhizhen Zhang,Best Elo Rank,154 (01-03-2021)
Zhizhen Zhang,Peak Elo Rating,1737 (07-10-2019)
Zhizhen Zhang,Last Appearance,39.1% (9-14)
Zhizhen Zhang,Overall,40.0% (8-12)
Zhizhen Zhang,Hard,0.0% (0-1)
Zhizhen Zhang,Clay,0.0% (0-1)
Zhizhen Zhang,Grass,16-01-2023
Zhizhen Zhang,Ace %,8.4%
Zhizhen Zhang,Double Fault %,1.9%
Zhizhen Zhang,1st Serve %,62.3%
Zhizhen Zhang,1st Serve Won %,71.7%
Zhizhen Zhang,2nd Serve Won %,51.9%
Zhizhen Zhang,Break Points Saved %,62.0%
Zhizhen Zhang,Service Points Won %,64.2%
Zhizhen Zhang,Service Games Won %,80.8%
Zhizhen Zhang,Ace Against %,7.7%
Zhizhen Zhang,Double Fault Against %,3.9%
Zhizhen Zhang,1st Srv. Return Won %,27.1%
Zhizhen Zhang,2nd Srv. Return Won %,47.4%
Zhizhen Zhang,Break Points Won %,31.9%
Zhizhen Zhang,Return Points Won %,34.5%
Zhizhen Zhang,Return Games Won %,15.5%
Zhizhen Zhang,Points Dominance,0.96
Zhizhen Zhang,Games Dominance,0.81
Zhizhen Zhang,Break Points Ratio,0.84
Zhizhen Zhang,Total Points Won %,49.2%
Zhizhen Zhang,Games Won %,48.1%
Zhizhen Zhang,Sets Won %,46.9%
Zhizhen Zhang,Matches Won %,39.1%
Zhizhen Zhang,Match Time,1:54
