Name,Category,Info
Alexander Zverev,Age,25 (20-04-1997)
Alexander Zverev,Country,Germany
Alexander Zverev,Birthplace,"Hamburg, Germany"
Alexander Zverev,Residence,"Monte-Carlo, Monaco"
Alexander Zverev,Height,198 cm
Alexander Zverev,Weight,86 kg
Alexander Zverev,Plays,Right-handed
Alexander Zverev,Backhand,Two-handed
Alexander Zverev,Favorite Surface,Clay 17%
Alexander Zverev,Coach,Mischa Zverev
Alexander Zverev,Turned Pro,2013
Alexander Zverev,Seasons,11
Alexander Zverev,Active,Yes
Alexander Zverev,Prize Money,"US$31,767,815 7th all-time in earnings"
Alexander Zverev,Wikipedia,Wikipedia
Alexander Zverev,Facebook,alexzverev12345
Alexander Zverev,Twitter,@AlexZverev
Alexander Zverev,Nicknames,Sascha
Alexander Zverev,Titles,19
Alexander Zverev,Tour Finals,2
Alexander Zverev,Masters,5
Alexander Zverev,Olympics,1
Alexander Zverev,Current Rank,14 (2500)
Alexander Zverev,Best Rank,2 (13-06-2022)
Alexander Zverev,Current Elo Rank,6 (2160)
Alexander Zverev,Best Elo Rank,3 (21-11-2021)
Alexander Zverev,Peak Elo Rating,2303 (21-11-2021)
Alexander Zverev,GOAT Rank,32 (111)
Alexander Zverev,Best Season,2021
Alexander Zverev,Last Appearance,27-02-2023
Alexander Zverev,Overall,68.4% (336-155)
Alexander Zverev,Hard,67.6% (202-97)
Alexander Zverev,Clay,71.6% (106-42)
Alexander Zverev,Grass,63.6% (28-16)
Alexander Zverev,H2H,"46
5
13"
Alexander Zverev,H2H %,75.8%
Alexander Zverev,Ace %,10.6%
Alexander Zverev,Double Fault %,5.3%
Alexander Zverev,1st Serve %,65.1%
Alexander Zverev,1st Serve Won %,74.4%
Alexander Zverev,2nd Serve Won %,49.6%
Alexander Zverev,Break Points Saved %,60.3%
Alexander Zverev,Service Points Won %,65.8%
Alexander Zverev,Service Games Won %,82.3%
Alexander Zverev,Ace Against %,5.6%
Alexander Zverev,Double Fault Against %,3.4%
Alexander Zverev,1st Srv. Return Won %,30.7%
Alexander Zverev,2nd Srv. Return Won %,50.9%
Alexander Zverev,Break Points Won %,42.0%
Alexander Zverev,Return Points Won %,38.4%
Alexander Zverev,Return Games Won %,25.2%
Alexander Zverev,Points Dominance,1.12
Alexander Zverev,Games Dominance,1.42
Alexander Zverev,Break Points Ratio,1.06
Alexander Zverev,Total Points Won %,51.8%
Alexander Zverev,Games Won %,53.7%
Alexander Zverev,Sets Won %,63.8%
Alexander Zverev,Matches Won %,68.4%
Alexander Zverev,Match Time,1:46
